"ActualTime {""replication"":{""duration-period"":""P7M"",""offset-date"":""2013-04-29"",""random-seed"":1100082332736,""setup-name"":""run1""},""epidemiology"":{""pathogen"":{""average-recovery-period"":""14 day"",""average-reproduction-period"":""12 day"",""beta-factor"":1,""last-outbreak-end-date"":""2000-06-30"",""next-outbreak-start-date"":""2013-05-07T08:09:10""},""vaccination"":{""acceptance-evaluator"":""nl.rivm.cib.demo.DemoModel$Medical$VaxAcceptanceEvaluator$Average"",""occasion"":{""affinity-dist"":""const(0.5)"",""clarity-dist"":""const(0.5)"",""proximity-dist"":""const(0.5)"",""recurrence"":""0 0 10 ? * MON-FRI *"",""utility-dist"":""const(0.5)""},""treatment-delay-dist"":""normal(0.5 week; 1.85 week)""}},""mobility"":{""society-goals"":{""career"":{""age-filter"":""[12.5 year; 70 year]"",""convene-timing"":""0 0 9 ? * MON-FRI"",""duration-dist"":""const(8 hr)"",""site-scope-km"":3E+1},""consort"":{""age-filter"":""[0 year; +inf)"",""capacity-dist"":""const( 200 )"",""convene-timing"":""0 0 14 ? * SUN"",""duration-dist"":""const(3 hr)"",""site-scope-km"":5E+1},""junior"":{""age-filter"":""[.5 year; 12.5 year]"",""convene-timing"":""0 0 8 ? * MON-FRI"",""duration-dist"":""const(6 hr)""},""leisure"":{""age-filter"":""[4 year; 70 year]"",""capacity-dist"":""tria( 50; 100; 200 )"",""convene-timing"":""0 0 11 ? * SAT"",""duration-dist"":""const(3 hr)"",""site-scope-km"":1E+1},""senior"":{""age-filter"":""[70 year; +inf)"",""capacity-dist"":""const( 100 )"",""convene-timing"":""0 0 10 ? * TUE-THU"",""duration-dist"":""const(5 hr)"",""site-scope-km"":1E+1}}},""demography"":{""hh-age-timeseries"":""dist/71486ned-TS-2010-2016.json"",""hh-birth-timeseries"":""dist/37201_TS_2010_2015.json"",""hh-dynamics-timeseries"":""dist/37230ned_TS_2012_2017.json"",""hh-partner-age-delta-dist"":""normal(-2 year; 2 year)"",""hh-partner-age-delta-range"":""[-5 year; 1 year]"",""pop-male-freq"":0.5,""population-size"":1E+5,""population-size-ref"":1.7E+7,""regional-resolution"":""MUNICIPAL""},""geography"":{""home-sites"":""dist/gm_pc6_centroid_density.json"",""primary-schools"":""dist/gm_pc4_po_pupils.json""},""hesitancy"":null}";VirtualTime;SUSCEPTIBLE;INFECTIVE;RECOVERED;VACCINATED;S_GG0111;S_GG0706;S_GG1009;S_GG1106;S_GG1413;S_GG1911;S_GG2014;S_GG2209;S_GG2514;S_GG2707;S_GG3109;S_GG3406;S_GG3606;S_GG4506;S_GG4607;S_GG4816;S_GG5006;S_GG5206;S_GG5406;S_GG5608;S_GG6011;S_GG6106;S_GG7014;S_GG7206;S_GG7306;I_GG0111;I_GG0706;I_GG1009;I_GG1106;I_GG1413;I_GG1911;I_GG2014;I_GG2209;I_GG2514;I_GG2707;I_GG3109;I_GG3406;I_GG3606;I_GG4506;I_GG4607;I_GG4816;I_GG5006;I_GG5206;I_GG5406;I_GG5608;I_GG6011;I_GG6106;I_GG7014;I_GG7206;I_GG7306;R_GG0111;R_GG0706;R_GG1009;R_GG1106;R_GG1413;R_GG1911;R_GG2014;R_GG2209;R_GG2514;R_GG2707;R_GG3109;R_GG3406;R_GG3606;R_GG4506;R_GG4607;R_GG4816;R_GG5006;R_GG5206;R_GG5406;R_GG5608;R_GG6011;R_GG6106;R_GG7014;R_GG7206;R_GG7306;V_GG0111;V_GG0706;V_GG1009;V_GG1106;V_GG1413;V_GG1911;V_GG2014;V_GG2209;V_GG2514;V_GG2707;V_GG3109;V_GG3406;V_GG3606;V_GG4506;V_GG4607;V_GG4816;V_GG5006;V_GG5206;V_GG5406;V_GG5608;V_GG6011;V_GG6106;V_GG7014;V_GG7206;V_GG7306
2017-12-19T13:36:57.994;2013-04-29;16956;0;0;83045;560;510;585;671;767;736;584;486;1328;614;546;934;234;839;1215;503;357;691;1068;711;460;514;1067;693;283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3087;2439;2532;3106;3954;3371;2661;1943;6228;3096;2572;5037;1155;3940;6005;2289;1859;3474;5057;3664;2428;3080;5250;3332;1486
2017-12-19T13:36:59.967;2013-04-29;5248;0;0;94754;161;133;185;214;220;261;195;159;424;179;180;300;64;255;376;165;92;215;349;227;149;152;306;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3486;2816;2932;3563;4501;3846;3050;2270;7132;3531;2938;5671;1325;4525;6844;2627;2124;3950;5776;4148;2739;3442;6011;3827;1680
2017-12-19T13:37:01.073;2013-04-30;5242;0;0;94761;160;133;184;213;220;261;195;159;424;179;181;299;64;254;375;166;92;215;347;227;149;152;306;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3487;2816;2933;3564;4501;3846;3050;2270;7132;3531;2937;5672;1325;4526;6844;2627;2125;3950;5778;4148;2739;3442;6011;3827;1680
2017-12-19T13:37:02.062;2013-05-01;5237;0;0;94764;158;133;184;213;220;261;195;159;424;179;182;299;63;253;375;166;92;215;347;226;149;152;305;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3488;2815;2933;3564;4501;3846;3050;2270;7133;3531;2936;5672;1326;4527;6843;2627;2125;3950;5778;4149;2739;3442;6012;3827;1680
2017-12-19T13:37:02.927;2013-05-02;5234;0;0;94765;158;133;184;213;220;261;196;159;423;180;182;299;63;252;375;166;92;214;347;226;147;152;305;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3488;2815;2933;3564;4501;3845;3050;2270;7133;3531;2936;5671;1326;4528;6843;2627;2125;3951;5778;4148;2741;3442;6012;3827;1680
2017-12-19T13:37:03.861;2013-05-03;5233;0;0;94765;158;132;184;213;220;261;196;159;423;180;182;298;63;252;374;166;92;215;347;226;147;152;306;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3488;2816;2933;3564;4501;3845;3050;2270;7133;3530;2936;5672;1326;4528;6843;2627;2125;3951;5778;4148;2741;3442;6012;3826;1680
2017-12-19T13:37:04.558;2013-05-04;5231;0;0;94775;158;132;184;213;219;260;195;159;423;180;182;297;63;255;374;166;92;215;347;226;147;152;306;197;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3488;2816;2933;3564;4502;3846;3049;2270;7134;3530;2936;5673;1326;4528;6845;2627;2125;3955;5778;4148;2741;3442;6012;3827;1680
2017-12-19T13:37:05.288;2013-05-05;5230;0;0;94776;158;132;183;213;220;260;195;159;423;180;182;297;63;256;374;166;92;215;345;226;147;152;305;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3488;2816;2934;3564;4502;3846;3049;2270;7134;3530;2936;5673;1326;4528;6845;2627;2125;3954;5780;4148;2741;3442;6012;3826;1680
2017-12-19T13:37:06.246;2013-05-06;5224;0;0;94785;158;132;183;213;219;259;194;159;423;180;182;297;63;256;374;166;92;214;345;226;147;151;304;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3488;2816;2934;3564;4503;3847;3053;2270;7134;3530;2936;5673;1326;4528;6845;2627;2125;3955;5780;4148;2741;3443;6013;3826;1680
2017-12-19T13:37:07.409;2013-05-07;5219;1;0;94788;158;132;183;213;217;259;194;159;423;180;183;296;62;256;374;167;91;214;343;226;147;151;304;198;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3488;2816;2934;3564;4505;3846;3053;2270;7134;3530;2936;5674;1327;4528;6845;2627;2126;3955;5780;4148;2741;3443;6013;3825;1680
